filepath,rating
SE\A-5058\A-5058__99.png,3
SO\A-5058\A-5058__261.png,3
SE\A-497\A-497__580.png,3
SE\A-497\A-497__712.png,3
SE\A-497_2C\A-497_2C__135.png,2
SO\A-5058\A-5058__407.png,3
NE\A-495_1\A-495_1__60.png,2
NO\A-499\A-499__212.png,2
SE\A-5050\A-5050__53.png,3
NO\A-490\A-490__328.png,2
SE\A-497_2C\A-497_2C__24.png,3
SO\A-5053\A-5053__363.png,3
SE\A-497\A-497__395.png,3
NO\A-490\A-490__310.png,2
NO\A-499\A-499__202.png,2
SE\A-5052\A-5052__403.png,4
NO\A-490\A-490__325.png,2
SE\A-497\A-497__284.png,2
SO\A-5053\A-5053__284.png,2
SE\A-5058\A-5058__313.png,3
SE\A-492\A-492__210.png,4
SO\A-5053\A-5053__73.png,2
SO\A-5058\A-5058__314.png,3
NE\A-490\A-490__184.png,2
SE\A-497\A-497__381.png,2
SO\A-5053\A-5053__354.png,2
SE\A-497\A-497__72.png,3
SE\A-497\A-497__244.png,3
SE\A-497_2C\A-497_2C__152.png,4
SE\A-492\A-492__439.png,1
SE\A-497\A-497__511.png,3
SO\A-5052\A-5052__84.png,2
SE\A-497_2C\A-497_2C__47.png,3
SE\A-5052\A-5052__134.png,2
SE\A-497_2C\A-497_2C__480.png,4
SE\A-5058\A-5058__162.png,3
NE\A-495_1\A-495_1__158.png,3
NO\A-490\A-490__526.png,2
SE\A-492\A-492__172.png,2
SE\A-5052\A-5052__500.png,3
SE\A-492\A-492__115.png,3
SE\A-5050\A-5050__24.png,4
SE\A-497_2C\A-497_2C__637.png,2
SO\A-5053\A-5053__378.png,3
NO\A-499\A-499__145.png,2
SE\A-497\A-497__413.png,1
SE\A-5050\A-5050__14.png,3
SE\A-5050\A-5050__167.png,3
SO\A-5053\A-5053__127.png,2
SE\A-5052\A-5052__359.png,3
NO\A-499\A-499__179.png,2
NO\A-490\A-490__482.png,2
SE\A-5050\A-5050__29.png,2
SE\A-497\A-497__488.png,1
SE\A-497\A-497__837.png,2
SO\A-5053\A-5053__45.png,4
SE\A-5052\A-5052__502.png,2
SE\A-497_2C\A-497_2C__655.png,2
SE\A-497\A-497__762.png,3
SE\A-5058\A-5058__1.png,3
SE\A-497_2C\A-497_2C__635.png,2
SE\A-492\A-492__108.png,3
NE\A-495_1\A-495_1__23.png,2
SE\A-497_2C\A-497_2C__254.png,3
SE\A-492\A-492__203.png,1
SE\A-497\A-497__591.png,3
SE\A-5052\A-5052__246.png,5
SE\A-497\A-497__493.png,2
SO\A-5053\A-5053__81.png,2
SE\A-497_2C\A-497_2C__508.png,2
NE\A-490\A-490__65.png,2
NE\A-495_1\A-495_1__94.png,2
SE\A-5052\A-5052__302.png,2
SE\A-497\A-497__385.png,2
SO\A-5058\A-5058__322.png,3
SE\A-497\A-497__113.png,4
SE\A-492\A-492__362.png,3
SE\A-5052\A-5052__205.png,2
SE\A-497\A-497__114.png,4
SE\A-5050\A-5050__124.png,3
SE\A-5052\A-5052__469.png,2
SE\A-5052\A-5052__339.png,2
SE\A-497_2C\A-497_2C__489.png,4
SO\A-5058\A-5058__266.png,3
SE\A-497\A-497__510.png,3
SO\A-5058\A-5058__424.png,2
SO\A-5053\A-5053__53.png,3
NO\A-490\A-490__314.png,3
SE\A-5052\A-5052__438.png,2
SE\A-5058\A-5058__154.png,3
SO\A-5058\A-5058__413.png,2
NE\A-490\A-490__202.png,3
SE\A-5059\A-5059__22.png,3
NE\A-495\A-495__119.png,4
NO\A-490\A-490__267.png,1
SE\A-497_2C\A-497_2C__634.png,2
NO\A-499\A-499__153.png,2
SE\A-492\A-492__90.png,4
NE\A-490\A-490__93.png,4
SE\A-497_2C\A-497_2C__130.png,1
SE\A-497\A-497__828.png,4
SO\A-5052\A-5052__189.png,2
SE\A-497\A-497__399.png,4
SE\A-492\A-492__393.png,2
SE\A-497\A-497__240.png,2
SE\A-497\A-497__293.png,4
SO\A-5058\A-5058__391.png,3
SE\A-5058\A-5058__130.png,3
SE\A-5052\A-5052__344.png,2
SE\A-497_2C\A-497_2C__449.png,3
SE\A-5050\A-5050__65.png,2
SO\A-5058\A-5058__469.png,3
SE\A-492\A-492__349.png,2
SE\A-492\A-492__153.png,1
NE\A-495_1\A-495_1__83.png,2
