epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,879,879,859,0,841,0,857,857,832,832
2,845,845,909,0,831,0,833,833,850,850
3,834,834,852,0,843,0,841,841,898,898
4,862,862,802,0,854,0,858,858,892,892
5,783,783,896,0,857,0,857,857,875,875
6,873,873,858,0,850,0,872,872,815,815
7,857,857,851,0,852,0,844,844,864,864
8,899,899,830,0,852,0,886,886,801,801
9,855,855,842,0,879,0,869,869,823,823
10,843,843,847,0,896,0,832,832,850,850
11,876,876,871,0,860,0,860,860,801,801
12,836,836,882,0,811,0,844,844,895,895
13,843,843,888,0,885,0,802,802,850,850
14,901,901,891,0,834,0,805,805,837,837
15,861,861,861,0,846,0,873,873,827,827
16,849,849,858,0,856,0,846,846,859,859
17,850,850,874,0,897,0,823,823,824,824
18,834,834,829,0,866,0,926,926,813,813
19,868,868,824,0,859,0,865,865,852,852
20,883,883,821,0,866,0,844,844,854,854
21,876,876,885,0,825,0,851,851,831,831
22,877,877,801,0,875,0,860,860,855,855
23,888,888,794,0,867,0,849,849,870,870
24,839,839,818,0,899,0,867,867,845,845
25,888,888,870,0,852,0,822,822,836,836
26,896,896,822,0,849,0,864,864,837,837
27,824,824,845,0,825,0,869,869,905,905
28,852,852,891,0,873,0,839,839,813,813
29,908,908,838,0,810,0,856,856,856,856
30,849,849,837,0,853,0,842,842,887,887
