epoch,class_1_seen,class_1_augmented,class_2_seen,class_2_augmented,class_3_seen,class_3_augmented,class_4_seen,class_4_augmented,class_5_seen,class_5_augmented
1,873,873,898,0,864,0,799,799,834,834
2,881,881,888,0,794,0,828,828,877,877
3,896,896,828,0,854,0,832,832,858,858
4,861,861,872,0,847,0,843,843,845,845
5,881,881,848,0,877,0,828,828,834,834
6,866,866,793,0,848,0,894,894,867,867
7,840,840,824,0,864,0,904,904,836,836
8,848,848,873,0,886,0,826,826,835,835
9,882,882,879,0,815,0,892,892,800,800
10,839,839,821,0,889,0,905,905,814,814
11,888,888,812,0,823,0,885,885,860,860
12,800,800,912,0,849,0,852,852,855,855
13,828,828,846,0,860,0,866,866,868,868
14,857,857,852,0,830,0,856,856,873,873
15,820,820,853,0,825,0,885,885,885,885
16,895,895,875,0,855,0,812,812,831,831
17,835,835,846,0,847,0,858,858,882,882
18,865,865,838,0,863,0,862,862,840,840
19,862,862,864,0,839,0,865,865,838,838
20,813,813,857,0,855,0,847,847,896,896
21,851,851,848,0,858,0,811,811,900,900
22,830,830,890,0,832,0,874,874,842,842
23,859,859,864,0,823,0,856,856,866,866
24,825,825,869,0,835,0,874,874,865,865
25,845,845,832,0,891,0,897,897,803,803
26,835,835,880,0,843,0,901,901,809,809
27,826,826,840,0,876,0,884,884,842,842
28,857,857,858,0,860,0,812,812,881,881
29,858,858,837,0,895,0,866,866,812,812
30,845,845,863,0,848,0,850,850,862,862
31,892,892,905,0,842,0,811,811,818,818
32,843,843,865,0,886,0,877,877,797,797
33,901,901,825,0,871,0,828,828,843,843
34,870,870,839,0,813,0,889,889,857,857
35,900,900,849,0,837,0,806,806,876,876
36,858,858,828,0,848,0,868,868,866,866
37,860,860,829,0,856,0,837,837,886,886
38,841,841,894,0,842,0,829,829,862,862
39,829,829,834,0,886,0,884,884,835,835
40,863,863,810,0,834,0,886,886,875,875
41,828,828,903,0,850,0,838,838,849,849
42,840,840,805,0,898,0,856,856,869,869
43,879,879,812,0,829,0,868,868,880,880
44,811,811,866,0,891,0,845,845,855,855
45,805,805,845,0,882,0,875,875,861,861
46,835,835,845,0,882,0,862,862,844,844
47,844,844,856,0,854,0,808,808,906,906
48,870,870,832,0,827,0,895,895,844,844
49,875,875,857,0,841,0,826,826,869,869
50,945,945,821,0,838,0,855,855,809,809
51,855,855,861,0,849,0,868,868,835,835
52,853,853,894,0,856,0,825,825,840,840
53,860,860,857,0,831,0,848,848,872,872
54,834,834,860,0,898,0,847,847,829,829
55,846,846,855,0,834,0,879,879,854,854
56,844,844,850,0,836,0,873,873,865,865
57,863,863,837,0,870,0,821,821,877,877
58,853,853,830,0,830,0,881,881,874,874
59,843,843,873,0,838,0,866,866,848,848
60,832,832,876,0,857,0,854,854,849,849
61,842,842,887,0,853,0,876,876,810,810
62,852,852,867,0,833,0,850,850,866,866
63,874,874,836,0,822,0,888,888,848,848
64,841,841,857,0,837,0,898,898,835,835
65,855,855,847,0,886,0,814,814,866,866
66,833,833,808,0,878,0,860,860,889,889
67,856,856,865,0,875,0,840,840,832,832
68,871,871,875,0,833,0,845,845,844,844
69,854,854,817,0,851,0,909,909,837,837
70,852,852,876,0,826,0,827,827,887,887
71,881,881,833,0,864,0,813,813,877,877
72,852,852,857,0,863,0,841,841,855,855
73,835,835,825,0,888,0,855,855,865,865
74,843,843,858,0,870,0,856,856,841,841
75,867,867,879,0,828,0,850,850,844,844
76,862,862,896,0,803,0,862,862,845,845
77,796,796,872,0,857,0,883,883,860,860
78,860,860,856,0,828,0,876,876,848,848
79,857,857,881,0,835,0,824,824,871,871
80,855,855,881,0,842,0,855,855,835,835
81,868,868,834,0,860,0,852,852,854,854
82,877,877,870,0,862,0,827,827,832,832
83,829,829,847,0,809,0,877,877,906,906
84,926,926,857,0,836,0,832,832,817,817
85,822,822,839,0,852,0,890,890,865,865
86,831,831,901,0,811,0,848,848,877,877
87,847,847,841,0,851,0,879,879,850,850
88,865,865,898,0,797,0,866,866,842,842
89,837,837,880,0,834,0,889,889,828,828
90,884,884,873,0,832,0,828,828,851,851
91,886,886,802,0,844,0,882,882,854,854
92,905,905,822,0,839,0,852,852,850,850
93,813,813,855,0,888,0,866,866,846,846
94,860,860,788,0,877,0,879,879,864,864
95,889,889,884,0,880,0,790,790,825,825
96,909,909,858,0,839,0,856,856,806,806
97,857,857,855,0,830,0,860,860,866,866
98,868,868,864,0,847,0,844,844,845,845
99,858,858,870,0,841,0,864,864,835,835
100,844,844,802,0,873,0,864,864,885,885
